gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,total_services,has_any_security,has_any_backup,is_long_term,avg_monthly_charges,charges_per_service,paperless_electronic,tenure_monthly_interaction
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0,3,9,1,1,1,112.78785714285713,11.325,0,7814.25
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,3,1,0,0,1,19.300943396226415,10.325,0,1073.8
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0,3,7,1,1,1,102.53125,13.3375,0,7575.7
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,0,4,1,1,0,48.03181818181818,11.040000000000001,0,552.0
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0,1,5,0,1,0,84.67727272727274,15.008333333333333,1,1891.05
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,0,3,0,1,0,19.825,9.9125,1,39.65
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0,0,1,0,0,1,15.557692307692308,9.9,0,237.60000000000002
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,0,1,0,0,0,10.075,10.075,0,20.15
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0,3,5,1,1,1,59.40847457627118,9.983333333333333,0,3474.2
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0,3,5,1,1,0,59.406000000000006,9.933333333333334,0,2920.4
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0,2,4,1,1,0,49.37419354838709,11.059999999999999,0,1659.0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,2,6,0,1,0,98.940625,14.192857142857141,1,4669.45
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,0,2,0,1,0,15.1,10.066666666666666,0,30.2
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0,3,9,1,1,1,87.2527397260274,9.025,0,6498.0
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1,4,0,0,0,60.727777777777774,12.940000000000001,0,1099.9
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0,3,7,1,1,1,93.98541666666667,12.04375,0,6840.849999999999
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0,0,5,0,1,0,60.550000000000004,15.916666666666666,0,191.0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0,2,6,1,1,1,66.94464285714285,9.450000000000001,0,1786.0500000000002
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0,0,1,0,0,0,10.1,10.1,0,20.2
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,0,2,0,0,0,22.625,15.083333333333334,0,45.25
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0,3,7,1,1,1,99.33835616438355,12.4875,0,7192.8
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,0,2,0,0,0,52.81666666666666,23.233333333333334,1,348.5
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0,2,3,0,1,0,75.49574468085106,18.7,0,3440.7999999999997
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,2,7,0,1,0,101.40714285714286,13.29375,1,3615.8999999999996
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,0,6,0,1,0,92.11666666666667,13.978571428571428,0,1076.35
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0,0,3,0,1,1,43.24545454545454,12.3875,0,495.5
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0,3,6,1,1,1,68.62464788732395,9.885714285714286,0,4844.0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0,1,1,0,0,1,23.23611111111111,10.375,0,352.75
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0,3,8,1,1,1,75.96015625,8.872222222222222,0,5030.549999999999
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0,1,7,1,1,0,70.10357142857143,9.525,1,990.6
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,3,4,0,0,0,78.134,16.9,1,4140.5
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,0,3,0,1,0,32.333333333333336,12.3125,0,98.5
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,0,3,0,0,0,48.050000000000004,20.1625,1,161.3
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,3,7,1,0,1,79.5811320754717,9.96875,0,4147.0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,3,6,1,1,1,60.77285714285715,9.164285714285715,0,4426.35
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0,2,5,0,1,0,87.24431818181819,15.041666666666666,1,3880.75
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,1,6,1,1,0,89.15,14.157142857142857,0,1486.5
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,2,6,1,0,0,67.40961538461539,9.928571428571429,0,1737.5
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,0,4,0,1,0,70.36666666666666,16.130000000000003,0,645.2
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,3,7,1,1,1,73.05491803278689,9.35625,0,4491.0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,1,5,0,0,0,92.23947368421052,15.908333333333333,1,1718.1000000000001
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,3,6,1,0,1,98.6125,14.235714285714286,0,6277.950000000001
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,3,8,1,1,1,105.61716417910448,12.05,1,7157.7
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,2,2,0,0,1,25.55142857142857,8.316666666666666,0,848.3
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0,3,7,1,1,1,107.58493150684932,13.4375,0,7740.0
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,2,6,0,1,0,98.06458333333335,14.357142857142858,1,4723.5
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,3,5,0,1,0,89.35573770491803,14.983333333333334,0,5394.0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,3,4,1,1,1,40.57534246575342,8.42,0,3031.2000000000003
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0,1,4,1,1,1,50.373684210526314,10.879999999999999,0,979.1999999999999
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,0,5,0,0,0,85.725,15.733333333333334,0,849.6
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0,0,6,1,1,0,61.025,10.757142857142856,1,225.89999999999998
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,2,4,0,1,1,76.04895833333333,15.780000000000001,1,3708.3
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,2,7,1,1,1,78.0375,9.9,0,2455.2000000000003
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,3,1,0,0,1,18.25294117647059,10.075,0,1007.4999999999999
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0,0,4,1,1,0,80.66818181818182,15.969999999999999,0,798.5
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0,0,3,1,0,0,24.525,12.2625,0,49.05
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,3,1,0,0,1,20.578301886792456,10.2,1,1060.8
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,3,8,1,1,1,109.21538461538462,12.399999999999999,0,7142.4
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0,3,2,0,0,1,22.61269841269841,8.083333333333334,0,1503.5
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0,0,5,1,0,0,44.35,10.75,0,193.5
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,3,8,1,1,1,107.71052631578948,12.277777777777779,0,6188.0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,2,3,0,0,1,57.2095744680851,13.9125,0,2559.9
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0,0,4,1,1,0,53.583333333333336,10.93,0,437.2
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,2,6,1,1,0,68.10645161290323,10.678571428571429,1,2242.5
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0,2,2,0,0,1,26.44782608695652,8.633333333333333,0,1165.5
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,0,3,0,0,0,39.675,19.8375,1,79.35
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0,0,4,1,0,0,47.112500000000004,10.11,0,556.05
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,0,3,0,1,0,62.1125,18.7875,0,526.0500000000001
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,2,7,1,1,0,100.63953488372093,12.975,0,4359.599999999999
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0,3,1,0,0,1,19.467,10.075,0,987.3499999999999
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0,0,6,0,1,0,91.875,14.185714285714285,0,893.6999999999999
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,2,4,1,0,1,61.540277777777774,12.43,0,2175.25
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0,2,1,0,0,1,21.571428571428573,10.325,0,991.1999999999999
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,2,1,0,0,1,19.72553191489362,9.975,0,917.6999999999999
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,2,2,0,0,0,33.641666666666666,11.25,0,978.75
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,2,4,0,1,0,82.90967741935484,16.41,0,2461.5
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0,0,3,1,0,0,37.35,18.675,0,74.7
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,3,8,1,1,1,85.28731343283582,9.333333333333334,0,5544.0
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0,3,8,1,1,0,107.68181818181819,12.338888888888889,0,7218.25
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,3,7,0,1,1,102.17876712328767,12.6125,0,7264.8
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,0,4,1,0,0,71.33461538461539,15.790000000000001,1,947.4000000000001
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0,3,6,1,1,1,65.95416666666667,9.549999999999999,0,4746.349999999999
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,0,1,0,0,0,18.974999999999998,10.525,0,105.25
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,3,1,0,0,1,20.89056603773585,10.5,0,1092.0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,2,6,0,1,0,96.71153846153847,14.071428571428571,1,2462.5
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0,0,1,0,0,0,10.1,10.1,0,20.2
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,0,0,1,0,0,0,9.725,9.725,0,19.45
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,2,6,1,1,1,92.45128205128205,13.571428571428571,0,3610.0
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0,3,4,0,1,1,45.18283582089552,9.11,0,3006.2999999999997
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,3,8,1,1,1,110.31666666666668,12.222222222222221,0,7480.0
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0,0,1,0,0,0,16.7,12.15,0,121.5
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0,3,7,1,1,1,100.04178082191781,13.01875,1,7498.8
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0,2,2,1,0,1,28.11060606060606,10.049999999999999,0,964.8
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,2,5,0,0,1,89.12045454545455,15.725,0,4057.0499999999997
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0,3,1,0,0,1,18.674657534246574,9.7,0,1396.8
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,3,6,1,1,0,93.55178571428571,13.821428571428571,1,5321.25
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0,3,5,1,1,1,57.40094339622642,9.658333333333333,0,3013.4
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0,2,5,0,1,0,89.86590909090908,15.275,1,3940.9500000000003
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,2,3,0,0,0,75.47763157894737,19.125,1,2830.5
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0,3,5,1,1,1,52.66923076923077,9.1,1,3494.4
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0,0,5,1,1,0,62.1,14.975,0,269.54999999999995
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0,2,2,1,0,1,30.44189189189189,10.35,0,1117.8
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,0,6,1,0,0,96.78636363636365,14.321428571428571,1,1002.5
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0,2,1,0,0,1,19.88452380952381,10.325,0,846.65
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0,2,5,1,1,0,76.84285714285714,14.200000000000001,0,2300.4
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0,3,6,0,1,1,96.76228070175438,14.257142857142856,0,5588.8
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0,0,1,0,0,0,16.107142857142858,10.35,0,124.19999999999999
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,0,3,0,0,0,57.3875,18.6,1,223.20000000000002
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0,0,3,1,0,0,43.79375,12.675,0,354.90000000000003
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0,0,1,0,0,0,12.58,10.425,0,83.4
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0,2,5,1,0,1,89.0485294117647,14.825000000000001,1,2935.35
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,2,4,0,1,0,76.26785714285714,15.61,1,2107.35
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0,3,2,0,0,1,23.615753424657534,7.8500000000000005,0,1695.6000000000001
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,0,0,1,0,0,0,9.875,9.875,0,19.75
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0,3,5,1,1,1,55.35208333333333,9.408333333333333,1,4007.9500000000003
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,0,1,4,0,0,0,86.83214285714287,17.19,1,1117.3500000000001
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,2,6,1,1,0,57.79423076923077,8.371428571428572,0,1465.0
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0,3,3,1,0,1,47.942647058823525,12.6375,0,3386.85
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,0,2,0,0,0,17.725,11.816666666666668,1,35.45
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,0,2,0,0,0,27.083333333333332,14.783333333333333,0,88.7
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2,0,2,2,0,0,1,27.004545454545454,8.566666666666666,0,1105.1
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,0,1,3,1,0,0,74.10416666666667,18.75,0,1725.0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75,0,3,1,0,0,1,19.657692307692308,10.1,0,1292.8
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55,0,3,1,0,0,1,20.181896551724137,9.8,0,1117.2
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,0,2,0,0,0,35.225,23.483333333333334,0,70.45
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,0,3,9,1,1,1,88.02260273972603,8.805,0,6339.599999999999
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,0,6,1,0,0,62.62777777777777,10.164285714285715,0,569.2
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,0,3,6,0,1,1,96.31048387096774,14.435714285714285,0,6164.05
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,0,3,5,1,1,1,81.37,14.049999999999999,0,5395.2
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2,0,3,2,0,0,1,24.391666666666666,7.983333333333333,0,1700.45
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,0,3,7,1,1,1,97.22272727272727,12.38125,0,6438.25
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35,0,0,1,0,0,1,15.3375,9.8,0,58.800000000000004
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,0,2,0,0,0,22.825,15.216666666666667,1,45.65
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95,0,2,5,0,1,1,62.25645161290323,10.75,0,1935.0
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4,0,1,6,1,1,0,66.9625,9.928571428571429,0,1042.5
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35,0,0,5,1,0,0,62.705555555555556,11.424999999999999,1,548.4
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1,0,5,0,0,0,81.9375,15.833333333333334,0,665.0
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,0,3,8,1,1,1,111.69788732394366,12.016666666666667,0,7570.5
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,0,3,8,1,1,1,82.78174603174604,9.566666666666666,0,5338.2
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5,0,0,1,0,0,0,16.214285714285715,9.85,0,118.19999999999999
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8,0,1,3,0,0,0,76.85333333333332,20.225,0,1132.6000000000001
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95,0,1,4,0,0,0,79.21521739130435,16.830000000000002,0,1851.3000000000002
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9,0,1,1,0,0,1,18.256521739130434,10.075,0,443.29999999999995
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0,1,5,1,1,1,60.23529411764706,10.708333333333334,0,1028.0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,0,0,2,0,0,1,22.87272727272727,8.566666666666666,0,257.0
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55,0,1,4,1,1,0,54.61071428571428,11.2,1,728.0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,1,4,1,0,0,75.82619047619048,16.48,0,1648.0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,0,0,2,0,0,0,45.06666666666666,23.233333333333334,1,139.4
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,0,3,7,1,1,1,73.30092592592592,9.2375,0,3916.7000000000003
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9,0,0,1,0,0,1,19.491666666666667,10.3,0,226.60000000000002
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45,0,3,1,0,0,1,19.477857142857143,9.95,0,1373.1
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1,0,2,0,0,0,54.6,23.633333333333336,0,283.6
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45,0,3,9,1,1,1,85.67739726027396,8.905,0,6411.599999999999
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,3,4,0,1,0,44.93559322033898,9.059999999999999,1,2627.3999999999996
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4,0,1,1,0,0,0,18.905882352941177,10.2,0,326.4
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25,0,2,5,1,1,1,80.4375,14.041666666666666,0,3622.75
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1,0,7,1,1,0,80.93333333333334,13.05,1,208.8
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75,0,1,7,1,1,1,78.78333333333333,10.24375,0,1147.3
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1,3,5,0,1,1,92.59629629629629,15.808333333333332,0,5027.049999999999
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55,0,2,1,0,0,1,19.834848484848482,10.275,0,657.6
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2,0,2,2,0,0,0,22.291428571428572,8.233333333333333,0,839.8
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,1,3,0,0,0,71.60625,18.6125,0,1116.75
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1,0,3,1,0,0,62.95,19.1125,0,535.15
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25,0,1,7,0,1,0,97.453125,13.16875,0,1580.25
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0,0,3,1,0,0,1,20.193548387096776,10.275,0,1253.55
